review_number,username,ratings,purchase_date,item_variation,location,review_content,has_image,subreview_sub 0_category,subreview_sub 0_content,subreview_sub 1_category,subreview_sub 1_content,subreview_sub 2_category,subreview_sub 2_content,original_file,original_review_key
1,barberraw,5,2025-06-11 15:50,Variation: Blue,,"First, sounding dia mmg lain, macam harga brand2 mahal. Bass mmg rasa sedap xsakit telinga. Clarity jgn ckp mmg sgt clear. Function dolby atmos dia mmg kadang rasa sgt, tp hukan semua lagu. Higt quality punya lagu akan dpt rasa. Mcm tngok liive concert bila ON. Equaliser dia byk dan mmg padu. Paling suka functin button kat kiri dan kanan boleh custom , bayangkan ada 6 function berbeza kt buds ni. Perghhh, ambil gambar ramai2 dah x kalut letak timer, single click kt bud je.  So far the best ear buds yg pernah aku ade la. Mmg x rugi beli sbb berbaloi la. Muka ada senyum bila pakai dia. Itu yg penting. Lastly dia punya ANC mmg terbaik dan boleh custom lagi. Aihhhhhh…. Mmg daysat amat teknologi dia bagi.",True,,,,,,,results1.json,review 1
2,rosliy,5,2025-05-25 19:31,Variation: White,,Sound is spacious  with added bass. Enabling dolby audio makes the sound wider. Noise cancelation was working and effective. Case and built quality was good and fit nicely in my ear. Really a good purchase as I have it at a good price.,True,Quality, Good,,,,,results1.json,review 2
3,jayanthir01,5,2025-06-04 19:44,Variation: Champaign,,It is working fine and I felt in love with the colour. Seller post it out the next day and it was delivered safely. Vry2 reliable seller. Tha k you so much 😍,True,Quality, Great,,,,,results1.json,review 3
4,n*****l,5,2025-06-25 20:59,Variation: Black,,This is one of the best premium earbuds I purchased. Quality is outstanding. Battery life is very good. Got many features of this earbuds. Highly recommended for those find earbuds in this price range. Thank you seller,True,Performance, Super,Quality, Tiptop,,,results1.json,review 4
5,laiks2,4,2025-05-27 23:51,Variation: White,,"Good battery life, good noise cancellation, adequate sound quality.",True,Quality," seems fine. had a soundcore Life earbuds before, it's cover broke off after a yr... hope this one last long",,,,,results1.json,review 5
6,fairwayfemme,5,2025-06-09 13:32,Variation: Apricot,,Tried Anker products for the first time - Impressed by the solid build & especially the sound quality. Didn’t expect this level of performance at this price. 5 stars!,True,,,,,,,results1.json,review 6
7,7*****1,5,2025-06-09 20:29,Variation: Champaign,,Noise cancelation performance is strong. The design is sleek and uber comfortable for long wear and the Dolby Audio makes you feel like your favourite artist is in the room with you!,True,Performance, Good,Quality, Good,,,results1.json,review 7
8,irsyadnaim01,5,2025-07-03 09:58,Variation: Black,,Best sangat earbud ni. Mmg bunyi dia high quality. Lepas setup guna soundcore app. Dapat guna full performance dia. Memang padu,True,Performance, sangat bagus.,Quality," bunyi sedap, ANC sangat powerful",,,results1.json,review 8
9,bushchesterkujat,5,2025-06-21 13:30,Variation: Black,,"Very comfortable to wear, even for hours. Feels premium and well-made. Sound is clear and crispy, with nice balance between bass and treble. ANC works well. The app is great which has Dolby Audio and Hi-Res support. Totally worth it!",False,Performance, Good,Quality, Good,,,results1.json,review 9
10,mickchoo71,5,2025-05-24 19:04,Variation: Champaign,,"Very good sounding earbuds, over shine it’s own liberty 4 pro, very please with this new earbuds   Really comparable to the high end brands.",False,Performance, excellent,Quality, excellent,,,results1.json,review 10
