review_number,username,ratings,purchase_date,item_variation,location,text,has_image,subreview_sub 0_category,subreview_sub 0_content,subreview_sub 1_category,subreview_sub 1_content,subreview_sub 2_category,subreview_sub 2_content,original_file,original_review_key,length,word_count,avg_word_length,sentence_count,exclamation_count,question_count,caps_ratio,punctuation_ratio,sentiment_compound,sentiment_positive,sentiment_negative,sentiment_neutral,malaysian_terms_count,malaysian_terms_ratio,product_terms_count,product_terms_ratio,has_mixed_language,has_specific_details,has_generic_phrases,has_promotional_language,repeated_words,spelling_errors,fake_score,predicted_label,true_label
7217,naza2124,5,2025-02-14 23:01:00,"Variation: Inner Bag,110x130cm (XL)",,Slmt smpi..kualiti bgus..inner refill kne beli 3kg..beli 2kg xcukup,True,Material, good,Functionality, good,,,results5.json,review 1231,67,15,3.933333333333333,4,0,0,0.0,0.08955223880597014,0.0,0.0,0.0,1.0,2,0.13333333333333333,0,0.0,False,False,False,False,3,0,0.05000000000000002,real,real
2803,u*****_,5,2025-01-06 01:45:00,Variation: Grey 10000mAh,,The only way I could do that was if you had to do a lot more work and then you would be done by yourself so you would be fine and then I,True,,,,,,,results3.json,review 1279,136,33,3.1515151515151514,1,0,0,0.0,0.0,0.2023,0.058,0.0,0.942,0,0.0,0,0.0,False,False,False,False,8,0,0.2,real,real
2791,w*****1,5,2025-02-27 00:23:00,Variation: Grey 10000mAh,,Barang selamat diterima dengan baik. Dah guna pon cuma lepaih tlg charge siap2😅,True,Durability, 💪,Performance, 💪,,,results3.json,review 1267,79,14,4.785714285714286,2,0,0,0.0,0.012658227848101266,0.0,0.0,0.0,1.0,2,0.14285714285714285,1,0.07142857142857142,False,False,False,False,0,1,0.05000000000000002,real,real
3320,a*****t,5,2025-07-15 14:08:00,Variation: Pink 10000mAh,,Stick well to phone when use wireless charging. Not really fast charging if using wireless mode and phone become overheat. Wired charging seems ok. Delivery very fast. Only took 1 day to receive mine.,True,Performance, Good,Durability, Pretty durable,,,results3.json,review 1796,200,38,4.394736842105263,6,0,0,0.0,0.025,0.5106,0.122,0.0,0.878,0,0.0,1,0.02631578947368421,False,False,False,False,9,0,0.2,real,real
13956,s*****7,5,2022-09-07 08:47:00,Variation: Quattro Cheese,,"Items arrive quick, good quality, haven’t tried yet but recommend.",True,,,,,,,results7.json,review 1958,66,15,3.8,2,0,0,0.0,0.045454545454545456,0.6369,0.394,0.0,0.606,0,0.0,1,0.06666666666666667,False,False,False,False,1,0,0.0,real,real
7405,i*****p,5,2024-12-20 11:00:00,"Variation: gray,110x130cm (XL)",,Bags look good and nicely stitched. Hope it will stand robust usage and last long when we put the filler,True,Material, Cotton denim,Functionality, Good,,,results5.json,review 1419,104,21,4.0476190476190474,2,0,0,0.0,0.009615384615384616,0.8779,0.41,0.0,0.59,0,0.0,0,0.0,False,False,False,False,1,0,0.0,real,real
8260,n*****p,5,2025-05-18 20:28:00,"Variation: Inner Bag,90*100 (M)",,Inner bag received in good condition...ok,True,Functionality, ok,Material, ok,,,results5.json,review 2274,41,8,4.5,2,0,0,0.0,0.07317073170731707,0.4404,0.367,0.0,0.633,1,0.125,0,0.0,False,False,False,False,0,0,0.0,real,real
14037,shafurasulaiman,5,2021-04-11 14:52:00,,,Very fast delivery.I already tried the carbonara and I love it. I'm excited to try the light ramen. ,True,,,,,,,results7.json,review 2039,100,21,3.9047619047619047,4,0,0,0.0,0.03,0.765,0.306,0.0,0.694,0,0.0,0,0.0,False,False,False,False,3,1,0.0,real,real
6248,apitxtopo,5,2025-05-17 17:32:00,"Variation: gray,90*100 (M)",,"makan modai beli ni.. sarung asing , inner asing , biji asing .. hahahaha",True,Functionality, good ank suka,Material, baikk,,,results5.json,review 262,73,15,4.0,3,0,0,0.0,0.0821917808219178,0.0,0.0,0.0,1.0,1,0.06666666666666667,0,0.0,False,False,False,False,4,0,0.0,real,real
12856,a*****8,5,2024-11-14 23:18:00,Variation: Habanero Lime,,Pembungkusan bagis. Tiada sebarang kerosakan. Barang diterima complete tiada sebarang kekurangan,True,Taste, sedap,Quality, bagus,,,results7.json,review 858,96,13,6.615384615384615,3,0,0,0.0,0.020833333333333332,0.0,0.0,0.0,1.0,0,0.0,0,0.0,False,False,False,False,3,0,0.25,real,real
